snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,eric clapton ended a concert early after being hit,2026-05-10T20:50:00Z,2026-05-10T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,homelessness,2026-05-10T20:50:00Z,2026-05-10T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,seven movie,2026-05-10T20:40:00Z,2026-05-10T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,dp world tour,2026-05-10T20:20:00Z,2026-05-10T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,seven,2026-05-10T20:10:00Z,2026-05-10T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,ligue 1,2026-05-10T20:10:00Z,2026-05-10T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,sydney weather,2026-05-10T20:00:00Z,2026-05-10T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,truist championship leaderboard,2026-05-10T20:00:00Z,2026-05-10T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,cameron smith,2026-05-10T20:00:00Z,2026-05-10T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-10,2026-05-10T21:12:48Z,google_trends,google,zionist,2026-05-10T19:50:00Z,2026-05-10T19:50:00Z,https://trends.google.com/trending/rss?geo=AU,
