snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,john ternus,2026-04-20T20:50:00Z,2026-04-20T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,wellington floods,2026-04-20T20:50:00Z,2026-04-20T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,beach,2026-04-20T20:50:00Z,2026-04-20T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,starlink,2026-04-20T20:50:00Z,2026-04-20T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,eb games ps5 trade in,2026-04-20T20:40:00Z,2026-04-20T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,organized crime,2026-04-20T20:30:00Z,2026-04-20T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,sydney weather,2026-04-20T20:30:00Z,2026-04-20T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,boston marathon 2026 results,2026-04-20T20:30:00Z,2026-04-20T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,bits,2026-04-20T20:30:00Z,2026-04-20T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-20,2026-04-20T21:11:32Z,google_trends,google,practical magic,2026-04-20T20:00:00Z,2026-04-20T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
