snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,palmeiras vs junior,2026-05-28T22:00:00Z,2026-05-28T22:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,bureau of meteorology winter forecast,2026-05-28T21:50:00Z,2026-05-28T21:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,rafael jodar,2026-05-28T21:50:00Z,2026-05-28T21:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,rafael nadal,2026-05-28T21:40:00Z,2026-05-28T21:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,connections 29 may 2026,2026-05-28T21:40:00Z,2026-05-28T21:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,de minaur,2026-05-28T21:20:00Z,2026-05-28T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,btc usd,2026-05-28T20:50:00Z,2026-05-28T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,nrl late mail,2026-05-28T20:40:00Z,2026-05-28T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,tom hardy,2026-05-28T20:40:00Z,2026-05-28T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-28,2026-05-28T22:17:34Z,google_trends,google,claude lemieux,2026-05-28T20:30:00Z,2026-05-28T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
