snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,woolworths,2026-05-09T20:50:00Z,2026-05-09T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,the bahamas,2026-05-09T20:50:00Z,2026-05-09T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,real sociedad vs real betis,2026-05-09T20:50:00Z,2026-05-09T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,iga,2026-05-09T20:50:00Z,2026-05-09T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,clayton carpenter,2026-05-09T20:50:00Z,2026-05-09T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,truist championship leaderboard,2026-05-09T20:50:00Z,2026-05-09T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,scottish premiership,2026-05-09T20:40:00Z,2026-05-09T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,sportsbet,2026-05-09T20:30:00Z,2026-05-09T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,liv golf leaderboard,2026-05-09T20:20:00Z,2026-05-09T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-09,2026-05-09T21:10:21Z,google_trends,google,motherwell vs hearts,2026-05-09T20:10:00Z,2026-05-09T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
