snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,connections 30 may 2026,2026-05-29T21:40:00Z,2026-05-29T21:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,liverpool f.c.,2026-05-29T21:40:00Z,2026-05-29T21:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,quentin halys,2026-05-29T21:30:00Z,2026-05-29T21:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,acciona,2026-05-29T21:30:00Z,2026-05-29T21:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,connor watson png chiefs,2026-05-29T21:20:00Z,2026-05-29T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,orange cap in ipl 2026,2026-05-29T21:20:00Z,2026-05-29T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,roland garros 2026,2026-05-29T21:00:00Z,2026-05-29T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,charlie puth,2026-05-29T21:00:00Z,2026-05-29T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,china ev market sales decline,2026-05-29T20:50:00Z,2026-05-29T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-29,2026-05-29T22:12:36Z,google_trends,google,alice walton,2026-05-29T20:50:00Z,2026-05-29T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
