snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,brad scott,2026-05-25T21:20:00Z,2026-05-25T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,ferrari luce,2026-05-25T21:10:00Z,2026-05-25T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,kohli travis head,2026-05-25T21:10:00Z,2026-05-25T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,homer gere,2026-05-25T21:00:00Z,2026-05-25T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,sky news australia,2026-05-25T21:00:00Z,2026-05-25T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,hobart weather,2026-05-25T21:00:00Z,2026-05-25T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,josh heuston,2026-05-25T20:50:00Z,2026-05-25T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,national sorry day,2026-05-25T20:30:00Z,2026-05-25T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,shane flanagan,2026-05-25T20:00:00Z,2026-05-25T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-25,2026-05-25T21:45:11Z,google_trends,google,gold coast weather,2026-05-25T20:00:00Z,2026-05-25T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
