snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,fossil fuel,2026-04-24T20:50:00Z,2026-04-24T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,lpga,2026-04-24T20:50:00Z,2026-04-24T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,gold coast weather,2026-04-24T20:40:00Z,2026-04-24T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,woolworths,2026-04-24T20:30:00Z,2026-04-24T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,leicester city vs millwall,2026-04-24T19:40:00Z,2026-04-24T19:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,napoli vs cremonese,2026-04-24T19:40:00Z,2026-04-24T19:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,dawn service adelaide,2026-04-24T19:40:00Z,2026-04-24T19:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,abc radio,2026-04-24T19:20:00Z,2026-04-24T19:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,shrine of remembrance,2026-04-24T19:00:00Z,2026-04-24T19:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-24,2026-04-24T21:14:11Z,google_trends,google,charlotte macinnes,2026-04-24T19:00:00Z,2026-04-24T19:00:00Z,https://trends.google.com/trending/rss?geo=AU,
