snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,atalanta vs lazio,2026-04-22T21:10:00Z,2026-04-22T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,dfb-pokal,2026-04-22T21:00:00Z,2026-04-22T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,real sociedad vs getafe,2026-04-22T21:00:00Z,2026-04-22T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,cyber incident,2026-04-22T20:50:00Z,2026-04-22T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,middlesbrough vs sheffield wednesday,2026-04-22T20:50:00Z,2026-04-22T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,charlton vs ipswich town,2026-04-22T20:50:00Z,2026-04-22T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,china,2026-04-22T20:40:00Z,2026-04-22T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,nfl draft,2026-04-22T20:30:00Z,2026-04-22T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,bbc sport,2026-04-22T20:10:00Z,2026-04-22T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-22,2026-04-22T21:26:50Z,google_trends,google,darrell sheets,2026-04-22T20:00:00Z,2026-04-22T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
