snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,airbus a380,2026-06-08T21:40:00Z,2026-06-08T21:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,sergio pérez,2026-06-08T21:30:00Z,2026-06-08T21:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,spacex,2026-06-08T21:20:00Z,2026-06-08T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,bonnie tyler,2026-06-08T21:10:00Z,2026-06-08T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,samsung,2026-06-08T21:10:00Z,2026-06-08T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,interest rate,2026-06-08T20:50:00Z,2026-06-08T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,idris elba,2026-06-08T20:40:00Z,2026-06-08T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,fifa world cup,2026-06-08T20:30:00Z,2026-06-08T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,qantas airbus a380 replacement talks,2026-06-08T20:30:00Z,2026-06-08T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-06-08,2026-06-08T22:10:31Z,google_trends,google,world cup,2026-06-08T20:10:00Z,2026-06-08T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
