snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,axon enterprise,2026-05-03T20:50:00Z,2026-05-03T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,inter milan,2026-05-03T20:50:00Z,2026-05-03T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,wsl,2026-05-03T20:40:00Z,2026-05-03T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,sarah ferguson,2026-05-03T20:40:00Z,2026-05-03T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,weather adelaide,2026-05-03T20:40:00Z,2026-05-03T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,bindi irwin,2026-05-03T20:30:00Z,2026-05-03T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,weather today,2026-05-03T20:30:00Z,2026-05-03T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,cardinals vs dodgers,2026-05-03T20:20:00Z,2026-05-03T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,날씨,2026-05-03T20:20:00Z,2026-05-03T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-03,2026-05-03T21:10:41Z,google_trends,google,nascar,2026-05-03T20:10:00Z,2026-05-03T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
