snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,iceman release date,2026-05-14T21:20:00Z,2026-05-14T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,fa youth cup final,2026-05-14T21:20:00Z,2026-05-14T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,barbara palvin,2026-05-14T21:10:00Z,2026-05-14T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,evika silina resignation latvia,2026-05-14T21:10:00Z,2026-05-14T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,pga championship leaderboard,2026-05-14T21:00:00Z,2026-05-14T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,connections 15 may 2026,2026-05-14T20:50:00Z,2026-05-14T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,famous basketball players,2026-05-14T20:50:00Z,2026-05-14T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,jordan,2026-05-14T20:40:00Z,2026-05-14T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,iga świątek,2026-05-14T20:30:00Z,2026-05-14T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-14,2026-05-14T21:44:38Z,google_trends,google,sam kerr,2026-05-14T20:00:00Z,2026-05-14T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
