snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,english premier league,2026-05-04T21:20:00Z,2026-05-04T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,qantas double status credits promotion,2026-05-04T21:10:00Z,2026-05-04T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,arsenal fixtures,2026-05-04T21:10:00Z,2026-05-04T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,overseas citizenship of india,2026-05-04T21:10:00Z,2026-05-04T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,livescore,2026-05-04T21:10:00Z,2026-05-04T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,blake lively,2026-05-04T21:00:00Z,2026-05-04T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,intifada,2026-05-04T21:00:00Z,2026-05-04T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,dubai,2026-05-04T21:00:00Z,2026-05-04T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,sporting vs vitória sc,2026-05-04T20:50:00Z,2026-05-04T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-04,2026-05-04T21:37:52Z,google_trends,google,pl,2026-05-04T20:50:00Z,2026-05-04T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
