snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,aaron rai,2026-05-16T20:50:00Z,2026-05-16T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,jon rahm,2026-05-16T20:40:00Z,2026-05-16T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,moldova,2026-05-16T20:30:00Z,2026-05-16T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,melbourne weather,2026-05-16T20:20:00Z,2026-05-16T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,mlb,2026-05-16T20:20:00Z,2026-05-16T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,esc vote,2026-05-16T20:00:00Z,2026-05-16T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,tv guide,2026-05-16T20:00:00Z,2026-05-16T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,pga leaderboard 2026,2026-05-16T20:00:00Z,2026-05-16T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,pga tour,2026-05-16T20:00:00Z,2026-05-16T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-16,2026-05-16T21:12:20Z,google_trends,google,us pga,2026-05-16T19:40:00Z,2026-05-16T19:40:00Z,https://trends.google.com/trending/rss?geo=AU,
