snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,piano,2026-05-15T20:40:00Z,2026-05-15T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,lfc,2026-05-15T20:40:00Z,2026-05-15T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,chud the builder,2026-05-15T20:30:00Z,2026-05-15T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,liverpool f.c,2026-05-15T20:20:00Z,2026-05-15T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,eurovision 2026,2026-05-15T20:20:00Z,2026-05-15T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,bbc sport,2026-05-15T20:20:00Z,2026-05-15T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,aldrich potgieter,2026-05-15T20:10:00Z,2026-05-15T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,audemars piguet x swatch,2026-05-15T20:00:00Z,2026-05-15T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,cameron smith,2026-05-15T20:00:00Z,2026-05-15T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-15,2026-05-15T21:34:19Z,google_trends,google,tim tszyu,2026-05-15T20:00:00Z,2026-05-15T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
