snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,nyt connections,2026-05-22T21:10:00Z,2026-05-22T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,abc news just in,2026-05-22T21:10:00Z,2026-05-22T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,lens vs nice,2026-05-22T21:00:00Z,2026-05-22T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,israel,2026-05-22T21:00:00Z,2026-05-22T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,f1 news,2026-05-22T21:00:00Z,2026-05-22T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,toby greene,2026-05-22T20:50:00Z,2026-05-22T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,weather today,2026-05-22T20:50:00Z,2026-05-22T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,wsl,2026-05-22T20:40:00Z,2026-05-22T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,i'm a celebrity get me out of here,2026-05-22T20:20:00Z,2026-05-22T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-22,2026-05-22T21:43:36Z,google_trends,google,tax,2026-05-22T20:10:00Z,2026-05-22T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
