snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,matthew perry,2026-05-27T22:00:00Z,2026-05-27T22:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,laos,2026-05-27T22:00:00Z,2026-05-27T22:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,the witcher 3: wild hunt,2026-05-27T21:50:00Z,2026-05-27T21:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,wind farm,2026-05-27T21:40:00Z,2026-05-27T21:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,wordle 28 may 2026,2026-05-27T21:40:00Z,2026-05-27T21:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,pam bondi,2026-05-27T21:30:00Z,2026-05-27T21:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,chris hansen,2026-05-27T21:30:00Z,2026-05-27T21:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,bonds,2026-05-27T21:20:00Z,2026-05-27T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,weather gold coast,2026-05-27T21:10:00Z,2026-05-27T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-27,2026-05-27T22:18:23Z,google_trends,google,alexander zverev,2026-05-27T20:50:00Z,2026-05-27T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
