snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,dow jones industrial average,2026-04-29T21:20:00Z,2026-04-29T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,origin energy,2026-04-29T21:10:00Z,2026-04-29T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,3aw,2026-04-29T21:10:00Z,2026-04-29T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,weather brisbane,2026-04-29T20:50:00Z,2026-04-29T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,william kate 15th anniversary photo,2026-04-29T20:30:00Z,2026-04-29T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,ucl,2026-04-29T20:20:00Z,2026-04-29T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,gold coast weather,2026-04-29T20:20:00Z,2026-04-29T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,al nassr,2026-04-29T20:10:00Z,2026-04-29T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,rachael gunn macquarie university,2026-04-29T20:00:00Z,2026-04-29T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-29,2026-04-29T21:40:37Z,google_trends,google,nick fuentes,2026-04-29T19:50:00Z,2026-04-29T19:50:00Z,https://trends.google.com/trending/rss?geo=AU,
