snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,brighton & hove albion vs arsenal,2026-05-06T21:20:00Z,2026-05-06T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,champions league final 2026,2026-05-06T21:10:00Z,2026-05-06T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,inflation,2026-05-06T21:00:00Z,2026-05-06T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,passport,2026-05-06T21:00:00Z,2026-05-06T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,lego icons road bike 11380,2026-05-06T21:00:00Z,2026-05-06T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,where to watch bayern munich vs psg,2026-05-06T20:40:00Z,2026-05-06T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,anthony albanese,2026-05-06T20:40:00Z,2026-05-06T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,latest news,2026-05-06T20:40:00Z,2026-05-06T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,fxstreet,2026-05-06T20:20:00Z,2026-05-06T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-06,2026-05-06T21:41:32Z,google_trends,google,jack purcell meats liquidation,2026-05-06T20:10:00Z,2026-05-06T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
