snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,wsl,2026-05-23T21:10:00Z,2026-05-23T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,abbey caldwell,2026-05-23T20:30:00Z,2026-05-23T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,product recall,2026-05-23T19:10:00Z,2026-05-23T19:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,real madrid vs athletic club,2026-05-23T18:10:00Z,2026-05-23T18:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,valencia vs barcelona,2026-05-23T18:10:00Z,2026-05-23T18:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,ipl standings,2026-05-23T18:00:00Z,2026-05-23T18:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,lucknow super giants vs punjab kings standings,2026-05-23T17:50:00Z,2026-05-23T17:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,sepsis,2026-05-23T17:20:00Z,2026-05-23T17:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,bayern vs vfb stuttgart,2026-05-23T17:10:00Z,2026-05-23T17:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-23,2026-05-23T21:26:29Z,google_trends,google,nab,2026-05-23T17:10:00Z,2026-05-23T17:10:00Z,https://trends.google.com/trending/rss?geo=AU,
