snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,spurs vs okc,2026-05-18T21:30:00Z,2026-05-18T21:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,san diego,2026-05-18T21:10:00Z,2026-05-18T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,prem,2026-05-18T21:10:00Z,2026-05-18T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,connections 19 may 2026,2026-05-18T21:00:00Z,2026-05-18T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,jim chalmers capital gains tax,2026-05-18T21:00:00Z,2026-05-18T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,clare wright,2026-05-18T21:00:00Z,2026-05-18T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,brazil world cup squad,2026-05-18T20:50:00Z,2026-05-18T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,날씨,2026-05-18T20:50:00Z,2026-05-18T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,melbourne maldives direct flights,2026-05-18T20:30:00Z,2026-05-18T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-18,2026-05-18T21:46:41Z,google_trends,google,jacob elordi,2026-05-18T20:10:00Z,2026-05-18T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
