snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,9 news,2026-05-31T20:20:00Z,2026-05-31T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,ksi,2026-05-31T20:00:00Z,2026-05-31T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,sky news,2026-05-31T20:00:00Z,2026-05-31T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,abc news just in,2026-05-31T19:50:00Z,2026-05-31T19:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,cnn,2026-05-31T19:30:00Z,2026-05-31T19:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,news headlines,2026-05-31T19:30:00Z,2026-05-31T19:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,nine news,2026-05-31T19:10:00Z,2026-05-31T19:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,nine,2026-05-31T19:00:00Z,2026-05-31T19:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,callum turner,2026-05-31T18:00:00Z,2026-05-31T18:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-31,2026-05-31T21:32:40Z,google_trends,google,cricinfo,2026-05-31T17:10:00Z,2026-05-31T17:10:00Z,https://trends.google.com/trending/rss?geo=AU,
