snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,"catherine, princess of wales",2026-04-23T20:50:00Z,2026-04-23T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,nfl,2026-04-23T20:50:00Z,2026-04-23T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,bankwest,2026-04-23T20:50:00Z,2026-04-23T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,mike vrabel,2026-04-23T20:40:00Z,2026-04-23T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,vfb stuttgart vs sc freiburg,2026-04-23T20:40:00Z,2026-04-23T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,zurich classic,2026-04-23T20:40:00Z,2026-04-23T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,mecca,2026-04-23T20:30:00Z,2026-04-23T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,giants vs dodgers,2026-04-23T20:20:00Z,2026-04-23T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,levante vs sevilla,2026-04-23T19:40:00Z,2026-04-23T19:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-23,2026-04-23T21:13:35Z,google_trends,google,national rugby league,2026-04-23T19:30:00Z,2026-04-23T19:30:00Z,https://trends.google.com/trending/rss?geo=AU,
