snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,nrl vegas 2027,2026-05-19T21:30:00Z,2026-05-19T21:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,google io,2026-05-19T21:30:00Z,2026-05-19T21:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,west ham,2026-05-19T21:10:00Z,2026-05-19T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,jake shane,2026-05-19T21:10:00Z,2026-05-19T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,tism sydney opera house damage,2026-05-19T21:10:00Z,2026-05-19T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,world cup 2026,2026-05-19T21:10:00Z,2026-05-19T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,prem table,2026-05-19T21:00:00Z,2026-05-19T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,premier league stats,2026-05-19T21:00:00Z,2026-05-19T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,grattan institute parking report,2026-05-19T21:00:00Z,2026-05-19T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-19,2026-05-19T21:54:38Z,google_trends,google,soccernet,2026-05-19T21:00:00Z,2026-05-19T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
