snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,날씨,2026-05-02T20:40:00Z,2026-05-02T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,osasuna vs barcelona,2026-05-02T20:10:00Z,2026-05-02T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,fc barcelona,2026-05-02T20:10:00Z,2026-05-02T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,tom cruise nicole kidman reunion,2026-05-02T20:00:00Z,2026-05-02T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,kentucky derby 2026,2026-05-02T19:50:00Z,2026-05-02T19:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,weather radar,2026-05-02T19:50:00Z,2026-05-02T19:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,"catherine, princess of wales",2026-05-02T19:30:00Z,2026-05-02T19:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,serie a,2026-05-02T18:40:00Z,2026-05-02T18:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,total war warhammer 40k,2026-05-02T18:20:00Z,2026-05-02T18:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-02,2026-05-02T21:08:55Z,google_trends,google,arsenal f.c.,2026-05-02T17:10:00Z,2026-05-02T17:10:00Z,https://trends.google.com/trending/rss?geo=AU,
