snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,epl results,2026-04-13T20:50:00Z,2026-04-13T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,fiorentina vs lazio,2026-04-13T20:40:00Z,2026-04-13T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,weather brisbane,2026-04-13T20:40:00Z,2026-04-13T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,australian government fuel campaign,2026-04-13T20:30:00Z,2026-04-13T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,oscar piastri,2026-04-13T20:30:00Z,2026-04-13T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,fiji,2026-04-13T20:20:00Z,2026-04-13T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,bbc sport,2026-04-13T20:20:00Z,2026-04-13T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,epl scores,2026-04-13T20:10:00Z,2026-04-13T20:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,epl,2026-04-13T20:00:00Z,2026-04-13T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-13,2026-04-13T21:13:59Z,google_trends,google,lottery,2026-04-13T20:00:00Z,2026-04-13T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
