snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,wsl,2026-04-30T21:10:00Z,2026-04-30T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,jp morgan,2026-04-30T21:10:00Z,2026-04-30T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,braga vs sc freiburg,2026-04-30T21:10:00Z,2026-04-30T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,dow jones industrial average,2026-04-30T21:10:00Z,2026-04-30T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,rayo vallecano vs strasbourg,2026-04-30T21:00:00Z,2026-04-30T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,cadillac championship,2026-04-30T21:00:00Z,2026-04-30T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,may day,2026-04-30T20:50:00Z,2026-04-30T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,uefa,2026-04-30T20:50:00Z,2026-04-30T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,omega 3 fish oil,2026-04-30T20:40:00Z,2026-04-30T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-30,2026-04-30T21:34:41Z,google_trends,google,nikita tszyu,2026-04-30T20:40:00Z,2026-04-30T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
