snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,james comey,2026-04-28T21:20:00Z,2026-04-28T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,hailey baptiste,2026-04-28T20:50:00Z,2026-04-28T20:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,al-hilal vs damac,2026-04-28T20:40:00Z,2026-04-28T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,mothers day australia,2026-04-28T20:40:00Z,2026-04-28T20:40:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,daniil medvedev,2026-04-28T20:30:00Z,2026-04-28T20:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,devil wears prada 2,2026-04-28T20:20:00Z,2026-04-28T20:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,gold coast weather,2026-04-28T20:00:00Z,2026-04-28T20:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,kayla jade,2026-04-28T19:50:00Z,2026-04-28T19:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,ted lasso,2026-04-28T19:50:00Z,2026-04-28T19:50:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-04-28,2026-04-28T21:37:34Z,google_trends,google,harry kane,2026-04-28T19:50:00Z,2026-04-28T19:50:00Z,https://trends.google.com/trending/rss?geo=AU,
