snapshot_date,fetched_at,source,platform,topic,pub_date,pub_date_sydney,link,description
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,stanley tucci,2026-05-12T21:30:00Z,2026-05-12T21:30:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,daniil medvedev,2026-05-12T21:20:00Z,2026-05-12T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,katy perry,2026-05-12T21:20:00Z,2026-05-12T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,connections 13 may 2026,2026-05-12T21:20:00Z,2026-05-12T21:20:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,hero,2026-05-12T21:10:00Z,2026-05-12T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,efl,2026-05-12T21:10:00Z,2026-05-12T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,royal pop,2026-05-12T21:10:00Z,2026-05-12T21:10:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,wordle 13 may 2026,2026-05-12T21:00:00Z,2026-05-12T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,queen mary of denmark,2026-05-12T21:00:00Z,2026-05-12T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
2026-05-12,2026-05-12T21:49:40Z,google_trends,google,asx futures,2026-05-12T21:00:00Z,2026-05-12T21:00:00Z,https://trends.google.com/trending/rss?geo=AU,
